CMDLINE /home/jack/anaconda3/bin/python utility.py
MEM 0.687500 1660100347.3677
MEM 22.851562 1660100347.4679
MEM 35.437500 1660100347.5683
MEM 48.558594 1660100347.6686
MEM 80.824219 1660100347.7688
MEM 88.507812 1660100347.8691
MEM 89.718750 1660100347.9694
MEM 94.335938 1660100348.0697
MEM 95.882812 1660100348.1699
MEM 126.296875 1660100348.2702
MEM 154.585938 1660100348.3705
MEM 204.363281 1660100348.4708
MEM 214.367188 1660100348.5712
MEM 221.839844 1660100348.6715
MEM 223.902344 1660100348.7717
MEM 237.261719 1660100348.8721
MEM 243.761719 1660100348.9723
MEM 241.289062 1660100349.0726
MEM 0.000000 1660100349.1729
