CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 0.691406 1660096954.7295
MEM 23.113281 1660096954.8298
MEM 36.007812 1660096954.9301
MEM 79.832031 1660096955.0304
MEM 102.812500 1660096955.1307
MEM 148.558594 1660096955.2310
MEM 168.234375 1660096955.3313
MEM 179.804688 1660096955.4316
MEM 192.933594 1660096955.5318
MEM 210.453125 1660096955.6321
MEM 212.421875 1660096955.7324
MEM 220.156250 1660096955.8327
MEM 222.339844 1660096955.9329
MEM 223.625000 1660096956.0332
MEM 231.355469 1660096956.1335
MEM 233.675781 1660096956.2337
MEM 242.582031 1660096956.3341
MEM 250.921875 1660096956.4343
MEM 250.921875 1660096956.5346
MEM 250.921875 1660096956.6348
MEM 250.921875 1660096956.7351
MEM 250.921875 1660096956.8354
MEM 250.921875 1660096956.9356
MEM 250.921875 1660096957.0359
MEM 250.921875 1660096957.1361
MEM 250.921875 1660096957.2363
MEM 250.921875 1660096957.3366
MEM 250.921875 1660096957.4369
MEM 250.921875 1660096957.5371
MEM 250.921875 1660096957.6374
MEM 250.921875 1660096957.7376
MEM 250.921875 1660096957.8379
MEM 250.921875 1660096957.9382
MEM 250.921875 1660096958.0385
MEM 250.921875 1660096958.1387
MEM 250.921875 1660096958.2390
MEM 250.921875 1660096958.3393
MEM 250.921875 1660096958.4396
MEM 254.816406 1660096958.5399
MEM 255.464844 1660096958.6404
MEM 255.609375 1660096958.7410
MEM 255.609375 1660096958.8418
MEM 255.609375 1660096958.9424
MEM 255.609375 1660096959.0427
MEM 255.609375 1660096959.1430
MEM 255.609375 1660096959.2436
MEM 255.609375 1660096959.3439
MEM 255.609375 1660096959.4442
MEM 255.609375 1660096959.5448
MEM 255.609375 1660096959.6454
MEM 255.609375 1660096959.7460
MEM 255.609375 1660096959.8468
MEM 255.609375 1660096959.9474
MEM 255.609375 1660096960.0479
MEM 255.609375 1660096960.1482
MEM 255.609375 1660096960.2485
MEM 255.609375 1660096960.3491
MEM 255.609375 1660096960.4497
MEM 255.609375 1660096960.5503
MEM 255.609375 1660096960.6506
MEM 255.609375 1660096960.7512
MEM 255.609375 1660096960.8518
MEM 255.609375 1660096960.9522
MEM 255.609375 1660096961.0528
MEM 255.609375 1660096961.1534
MEM 255.609375 1660096961.2538
MEM 255.609375 1660096961.3542
MEM 255.609375 1660096961.4548
MEM 255.609375 1660096961.5554
MEM 255.609375 1660096961.6557
MEM 255.609375 1660096961.7563
MEM 255.609375 1660096961.8569
MEM 255.609375 1660096961.9574
MEM 255.609375 1660096962.0580
MEM 255.609375 1660096962.1586
MEM 255.609375 1660096962.2592
MEM 255.609375 1660096962.3596
MEM 255.609375 1660096962.4598
MEM 255.609375 1660096962.5605
MEM 255.609375 1660096962.6610
MEM 255.609375 1660096962.7617
MEM 255.609375 1660096962.8623
MEM 255.609375 1660096962.9629
MEM 255.609375 1660096963.0634
MEM 255.609375 1660096963.1641
MEM 255.609375 1660096963.2646
MEM 255.609375 1660096963.3652
MEM 255.609375 1660096963.4655
MEM 255.609375 1660096963.5659
MEM 255.609375 1660096963.6665
MEM 255.609375 1660096963.7668
MEM 255.609375 1660096963.8674
MEM 255.609375 1660096963.9678
MEM 255.609375 1660096964.0681
MEM 255.609375 1660096964.1687
MEM 255.609375 1660096964.2692
MEM 255.609375 1660096964.3698
MEM 255.609375 1660096964.4703
MEM 255.609375 1660096964.5707
MEM 255.609375 1660096964.6711
MEM 255.609375 1660096964.7716
MEM 255.609375 1660096964.8724
MEM 255.609375 1660096964.9729
MEM 255.609375 1660096965.0735
MEM 255.609375 1660096965.1741
MEM 255.609375 1660096965.2747
MEM 255.609375 1660096965.3753
MEM 255.609375 1660096965.4759
MEM 255.609375 1660096965.5763
MEM 255.609375 1660096965.6768
MEM 255.609375 1660096965.7774
MEM 255.609375 1660096965.8780
MEM 255.609375 1660096965.9787
MEM 255.609375 1660096966.0793
MEM 255.609375 1660096966.1799
MEM 255.609375 1660096966.2805
MEM 255.609375 1660096966.3811
MEM 255.609375 1660096966.4816
MEM 255.609375 1660096966.5822
MEM 255.609375 1660096966.6828
MEM 255.609375 1660096966.7830
MEM 255.609375 1660096966.8836
MEM 255.609375 1660096966.9843
MEM 255.609375 1660096967.0847
MEM 255.609375 1660096967.1851
MEM 255.609375 1660096967.2857
MEM 255.609375 1660096967.3862
MEM 255.609375 1660096967.4868
MEM 255.609375 1660096967.5874
MEM 255.609375 1660096967.6880
MEM 255.609375 1660096967.7885
MEM 255.609375 1660096967.8889
MEM 255.609375 1660096967.9895
MEM 255.609375 1660096968.0898
MEM 255.609375 1660096968.1904
MEM 255.609375 1660096968.2910
MEM 255.609375 1660096968.3916
MEM 255.609375 1660096968.4921
MEM 255.609375 1660096968.5927
MEM 255.609375 1660096968.6931
MEM 255.609375 1660096968.7936
MEM 255.609375 1660096968.8939
MEM 255.609375 1660096968.9943
MEM 255.609375 1660096969.0949
MEM 255.609375 1660096969.1952
MEM 255.609375 1660096969.2955
MEM 255.609375 1660096969.3957
MEM 255.609375 1660096969.4960
MEM 255.609375 1660096969.5963
MEM 255.609375 1660096969.6965
MEM 255.609375 1660096969.7968
MEM 255.609375 1660096969.8971
MEM 255.609375 1660096969.9974
MEM 255.609375 1660096970.0980
