CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 0.691406 1660109835.4355
MEM 21.816406 1660109835.5358
MEM 34.277344 1660109835.6361
MEM 64.875000 1660109835.7364
MEM 99.156250 1660109835.8367
MEM 145.292969 1660109835.9370
MEM 164.523438 1660109836.0373
MEM 176.843750 1660109836.1376
MEM 189.218750 1660109836.2379
MEM 203.394531 1660109836.3382
MEM 210.816406 1660109836.4385
MEM 219.066406 1660109836.5387
MEM 220.734375 1660109836.6391
MEM 222.535156 1660109836.7395
MEM 223.566406 1660109836.8398
MEM 232.496094 1660109836.9401
MEM 236.105469 1660109837.0403
MEM 245.925781 1660109837.1406
MEM 250.476562 1660109837.2409
MEM 250.476562 1660109837.3413
MEM 250.476562 1660109837.4416
MEM 250.476562 1660109837.5419
MEM 250.476562 1660109837.6422
MEM 250.476562 1660109837.7425
MEM 250.476562 1660109837.8428
MEM 250.476562 1660109837.9431
MEM 250.476562 1660109838.0434
MEM 250.476562 1660109838.1437
MEM 250.476562 1660109838.2439
MEM 250.476562 1660109838.3442
MEM 250.476562 1660109838.4445
MEM 250.476562 1660109838.5447
MEM 250.476562 1660109838.6450
MEM 250.476562 1660109838.7453
MEM 250.476562 1660109838.8456
MEM 250.476562 1660109838.9458
MEM 250.476562 1660109839.0461
MEM 250.476562 1660109839.1463
MEM 250.476562 1660109839.2466
MEM 250.730469 1660109839.3469
MEM 253.859375 1660109839.4472
MEM 255.921875 1660109839.5475
MEM 256.570312 1660109839.6478
MEM 256.570312 1660109839.7482
MEM 284.777344 1660109839.8485
MEM 295.535156 1660109839.9497
MEM 294.195312 1660109840.0500
MEM 294.273438 1660109840.1503
MEM 294.273438 1660109840.2506
MEM 299.046875 1660109840.3509
MEM 296.695312 1660109840.4530
MEM 296.785156 1660109840.5619
MEM 296.785156 1660109840.6623
MEM 299.937500 1660109840.7625
MEM 298.066406 1660109840.8629
MEM 298.218750 1660109840.9632
MEM 298.226562 1660109841.0635
MEM 298.226562 1660109841.1639
MEM 301.171875 1660109841.2642
MEM 299.074219 1660109841.3644
MEM 299.203125 1660109841.4647
MEM 299.214844 1660109841.5651
MEM 298.632812 1660109841.6654
MEM 300.800781 1660109841.7657
MEM 299.359375 1660109841.8659
MEM 299.371094 1660109841.9662
MEM 299.371094 1660109842.0665
MEM 298.304688 1660109842.1668
MEM 297.968750 1660109842.2671
MEM 300.683594 1660109842.3674
MEM 300.695312 1660109842.4677
MEM 300.699219 1660109842.5680
MEM 300.164062 1660109842.6684
MEM 297.460938 1660109842.7686
MEM 297.472656 1660109842.8689
MEM 297.472656 1660109842.9693
MEM 297.476562 1660109843.0696
MEM 298.574219 1660109843.1699
MEM 298.578125 1660109843.2702
MEM 298.578125 1660109843.3705
MEM 298.582031 1660109843.4708
MEM 299.046875 1660109843.5711
MEM 297.468750 1660109843.6714
MEM 297.480469 1660109843.7717
MEM 297.480469 1660109843.8723
MEM 301.488281 1660109843.9726
MEM 297.250000 1660109844.0730
MEM 297.238281 1660109844.1733
MEM 297.250000 1660109844.2736
MEM 297.488281 1660109844.3739
MEM 298.804688 1660109844.4742
MEM 297.332031 1660109844.5745
MEM 297.343750 1660109844.6748
MEM 297.488281 1660109844.7751
MEM 300.648438 1660109844.8754
MEM 298.933594 1660109844.9817
MEM 299.019531 1660109845.0820
MEM 299.019531 1660109845.1824
MEM 299.246094 1660109845.2827
MEM 297.488281 1660109845.3831
MEM 298.023438 1660109845.4833
MEM 298.035156 1660109845.5837
MEM 298.035156 1660109845.6844
MEM 299.175781 1660109845.7847
MEM 299.199219 1660109845.8851
MEM 299.199219 1660109845.9855
MEM 299.199219 1660109846.0858
MEM 302.230469 1660109846.1861
MEM 299.296875 1660109846.2864
MEM 297.925781 1660109846.3867
MEM 297.933594 1660109846.4870
MEM 298.152344 1660109846.5873
MEM 300.652344 1660109846.6877
