CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 1.503906 1660096980.1246
MEM 22.675781 1660096980.2249
MEM 35.203125 1660096980.3252
MEM 64.960938 1660096980.4256
MEM 100.839844 1660096980.5259
MEM 145.980469 1660096980.6261
MEM 165.917969 1660096980.7264
MEM 175.812500 1660096980.8267
MEM 188.539062 1660096980.9270
MEM 205.796875 1660096981.0272
MEM 211.191406 1660096981.1275
MEM 218.925781 1660096981.2278
MEM 219.734375 1660096981.3280
MEM 222.128906 1660096981.4283
MEM 223.417969 1660096981.5286
MEM 232.437500 1660096981.6289
MEM 238.492188 1660096981.7291
MEM 246.871094 1660096981.8294
MEM 249.910156 1660096981.9297
MEM 249.910156 1660096982.0299
MEM 249.910156 1660096982.1302
MEM 249.910156 1660096982.2305
MEM 249.910156 1660096982.3308
MEM 249.910156 1660096982.4311
MEM 249.910156 1660096982.5313
MEM 249.910156 1660096982.6316
MEM 249.910156 1660096982.7318
MEM 249.910156 1660096982.8321
MEM 249.910156 1660096982.9324
MEM 249.910156 1660096983.0327
MEM 249.910156 1660096983.1329
MEM 249.910156 1660096983.2332
MEM 249.910156 1660096983.3335
MEM 249.910156 1660096983.4337
MEM 249.910156 1660096983.5340
MEM 249.910156 1660096983.6343
MEM 249.910156 1660096983.7345
MEM 249.910156 1660096983.8348
MEM 253.910156 1660096983.9351
MEM 255.671875 1660096984.0354
MEM 256.503906 1660096984.1359
MEM 256.503906 1660096984.2363
MEM 289.933594 1660096984.3366
MEM 298.582031 1660096984.4368
MEM 295.027344 1660096984.5447
MEM 295.039062 1660096984.6450
MEM 295.410156 1660096984.7453
MEM 298.558594 1660096984.8456
MEM 297.191406 1660096984.9459
MEM 297.210938 1660096985.0463
MEM 297.210938 1660096985.1467
MEM 298.792969 1660096985.2473
MEM 298.406250 1660096985.3476
MEM 298.402344 1660096985.4479
MEM 298.414062 1660096985.5483
MEM 298.628906 1660096985.6485
MEM 297.015625 1660096985.7488
MEM 299.933594 1660096985.8491
