CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 0.652344 1660112314.3845
MEM 22.343750 1660112314.4848
MEM 34.562500 1660112314.5851
MEM 65.414062 1660112314.6854
MEM 96.328125 1660112314.7857
MEM 144.011719 1660112314.8859
MEM 163.539062 1660112314.9862
MEM 173.488281 1660112315.0864
MEM 183.906250 1660112315.1868
MEM 194.101562 1660112315.2870
MEM 209.519531 1660112315.3873
MEM 212.230469 1660112315.4877
MEM 219.707031 1660112315.5879
MEM 221.644531 1660112315.6882
MEM 222.671875 1660112315.7885
MEM 223.703125 1660112315.8888
MEM 233.062500 1660112315.9891
MEM 233.578125 1660112316.0894
MEM 242.187500 1660112316.1897
MEM 250.914062 1660112316.2900
MEM 250.914062 1660112316.3903
MEM 250.914062 1660112316.4906
MEM 250.914062 1660112316.5908
MEM 250.914062 1660112316.6912
MEM 250.914062 1660112316.7914
MEM 250.914062 1660112316.8917
MEM 250.914062 1660112316.9920
MEM 250.914062 1660112317.0923
MEM 250.914062 1660112317.1926
MEM 250.914062 1660112317.2929
MEM 250.914062 1660112317.3932
MEM 250.914062 1660112317.4935
MEM 250.914062 1660112317.5938
MEM 250.914062 1660112317.6941
MEM 250.914062 1660112317.7944
MEM 250.914062 1660112317.8947
MEM 250.914062 1660112317.9950
MEM 250.914062 1660112318.0953
MEM 250.914062 1660112318.1956
MEM 250.914062 1660112318.2959
MEM 250.914062 1660112318.3961
MEM 250.914062 1660112318.4964
MEM 276.691406 1660112318.5967
MEM 499.656250 1660112318.6971
MEM 702.867188 1660112318.7975
MEM 702.867188 1660112318.8981
MEM 714.210938 1660112318.9987
MEM 734.578125 1660112319.0993
MEM 755.203125 1660112319.2000
MEM 777.632812 1660112319.3004
MEM 799.804688 1660112319.4008
MEM 820.945312 1660112319.5016
MEM 841.570312 1660112319.6022
MEM 862.710938 1660112319.7029
MEM 883.593750 1660112319.8035
MEM 890.554688 1660112319.9039
MEM 890.812500 1660112320.0045
MEM 908.859375 1660112320.1048
MEM 931.289062 1660112320.2055
MEM 953.976562 1660112320.3062
MEM 973.312500 1660112320.4068
MEM 994.195312 1660112320.5076
MEM 1015.078125 1660112320.6080
MEM 1035.960938 1660112320.7087
MEM 1058.390625 1660112320.8093
MEM 1080.820312 1660112320.9099
MEM 1102.218750 1660112321.0103
MEM 1122.328125 1660112321.1109
MEM 1142.695312 1660112321.2112
MEM 1155.328125 1660112321.3118
MEM 1155.328125 1660112321.4122
MEM 1155.328125 1660112321.5124
MEM 1155.644531 1660112321.6127
MEM 1156.003906 1660112321.7131
MEM 1160.992188 1660112321.8134
MEM 1161.335938 1660112321.9137
MEM 1161.492188 1660112322.0140
MEM 1165.097656 1660112322.1144
MEM 1278.949219 1660112322.2147
MEM 1405.625000 1660112322.3154
MEM 1423.484375 1660112322.4158
MEM 1710.800781 1660112322.5162
MEM 1789.429688 1660112322.6166
MEM 1789.636719 1660112322.7169
MEM 1996.199219 1660112322.8173
MEM 2193.320312 1660112322.9177
MEM 2215.351562 1660112323.0181
MEM 2409.898438 1660112323.1184
MEM 2521.707031 1660112323.2187
MEM 2603.035156 1660112323.3191
MEM 2734.933594 1660112323.4195
MEM 2959.667969 1660112323.5199
MEM 2977.566406 1660112323.6203
MEM 3115.125000 1660112323.7207
MEM 3260.972656 1660112323.8211
MEM 3343.828125 1660112323.9214
MEM 3547.585938 1660112324.0217
MEM 3637.484375 1660112324.1221
MEM 3795.375000 1660112324.2225
MEM 4003.949219 1660112324.3228
MEM 4034.222656 1660112324.4232
MEM 4238.730469 1660112324.5235
MEM 4369.699219 1660112324.6240
MEM 4369.898438 1660112324.7244
MEM 4553.441406 1660112324.8249
MEM 4735.460938 1660112324.9253
MEM 4735.652344 1660112325.0257
MEM 4942.218750 1660112325.1260
MEM 5101.992188 1660112325.2264
MEM 5191.816406 1660112325.3267
MEM 5407.933594 1660112325.4271
MEM 5467.937500 1660112325.5275
MEM 5603.117188 1660112325.6280
MEM 5831.804688 1660112325.7284
MEM 5968.410156 1660112325.8288
MEM 6019.714844 1660112325.9335
MEM 6162.968750 1660112326.0342
MEM 6173.136719 1660112326.1345
MEM 6307.167969 1660112326.2359
MEM 6445.246094 1660112326.3363
MEM 6646.160156 1660112326.4367
MEM 6650.613281 1660112326.5370
MEM 6661.441406 1660112326.6373
MEM 6805.738281 1660112326.7376
MEM 6879.062500 1660112326.8381
MEM 7062.519531 1660112326.9385
MEM 7224.863281 1660112327.0388
MEM 7327.667969 1660112327.1391
MEM 7409.574219 1660112327.2395
MEM 7501.542969 1660112327.3399
MEM 7764.664062 1660112327.4403
