CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 0.660156 1660112490.9089
MEM 22.339844 1660112491.0092
MEM 34.582031 1660112491.1095
MEM 64.093750 1660112491.2098
MEM 94.300781 1660112491.3101
MEM 139.964844 1660112491.4103
MEM 162.800781 1660112491.5106
MEM 174.414062 1660112491.6109
MEM 186.449219 1660112491.7112
MEM 196.062500 1660112491.8115
MEM 211.726562 1660112491.9118
MEM 216.367188 1660112492.0121
MEM 220.796875 1660112492.1124
MEM 222.933594 1660112492.2127
MEM 224.222656 1660112492.3130
MEM 229.484375 1660112492.4133
MEM 233.351562 1660112492.5135
MEM 242.242188 1660112492.6138
MEM 249.335938 1660112492.7141
MEM 251.304688 1660112492.8143
MEM 251.304688 1660112492.9146
MEM 251.304688 1660112493.0148
MEM 251.304688 1660112493.1152
MEM 251.304688 1660112493.2155
MEM 251.304688 1660112493.3158
MEM 251.304688 1660112493.4161
MEM 251.304688 1660112493.5164
MEM 251.304688 1660112493.6166
MEM 251.304688 1660112493.7168
MEM 251.304688 1660112493.8171
MEM 251.304688 1660112493.9174
MEM 251.304688 1660112494.0177
MEM 251.304688 1660112494.1180
MEM 251.304688 1660112494.2183
MEM 251.304688 1660112494.3185
MEM 251.304688 1660112494.4188
MEM 251.304688 1660112494.5191
MEM 251.304688 1660112494.6194
MEM 251.304688 1660112494.7196
MEM 251.304688 1660112494.8200
MEM 287.445312 1660112494.9203
MEM 717.589844 1660112495.0207
MEM 893.128906 1660112495.1211
MEM 1131.863281 1660112495.2214
MEM 1155.582031 1660112495.3217
MEM 1155.582031 1660112495.4220
MEM 1156.371094 1660112495.5223
MEM 1156.644531 1660112495.6227
MEM 1156.644531 1660112495.7230
MEM 1162.027344 1660112495.8233
MEM 1162.164062 1660112495.9236
MEM 1165.523438 1660112496.0242
MEM 1266.394531 1660112496.1246
MEM 1333.812500 1660112496.2250
MEM 1333.972656 1660112496.3253
MEM 1490.699219 1660112496.4257
MEM 1663.773438 1660112496.5261
MEM 1681.917969 1660112496.6264
MEM 1801.406250 1660112496.7270
MEM 2048.113281 1660112496.8274
MEM 2049.855469 1660112496.9278
MEM 2303.019531 1660112497.0281
MEM 2414.128906 1660112497.1284
MEM 2469.929688 1660112497.2287
MEM 2660.089844 1660112497.3291
MEM 2780.351562 1660112497.4294
MEM 2903.742188 1660112497.5299
MEM 3082.785156 1660112497.6303
MEM 3146.128906 1660112497.7307
MEM 3252.531250 1660112497.8310
MEM 3511.804688 1660112497.9313
MEM 3511.980469 1660112498.0316
MEM 3625.394531 1660112498.1321
MEM 3878.175781 1660112498.2324
MEM 3878.085938 1660112498.3328
MEM 4138.777344 1660112498.4331
MEM 4244.277344 1660112498.5335
MEM 4334.144531 1660112498.6339
MEM 4463.957031 1660112498.7344
MEM 4655.507812 1660112498.8348
MEM 4700.007812 1660112498.9352
MEM 4868.222656 1660112499.0355
MEM 4976.152344 1660112499.1359
MEM 5065.859375 1660112499.2364
MEM 5342.089844 1660112499.3367
MEM 5342.003906 1660112499.4370
MEM 5507.960938 1660112499.5374
MEM 5726.160156 1660112499.6378
MEM 5850.886719 1660112499.7381
MEM 6002.199219 1660112499.8385
MEM 6020.171875 1660112499.9389
MEM 6323.339844 1660112500.0392
MEM 6404.261719 1660112500.1395
MEM 6521.628906 1660112500.2398
MEM 6534.777344 1660112500.3401
MEM 6680.167969 1660112500.4404
MEM 6758.964844 1660112500.5407
MEM 6974.113281 1660112500.6411
MEM 7203.140625 1660112500.7414
MEM 7208.878906 1660112500.8418
MEM 7358.398438 1660112500.9422
MEM 7376.093750 1660112501.0425
MEM 7587.738281 1660112501.1430
MEM 7723.222656 1660112501.2433
MEM 7912.296875 1660112501.3437
MEM 7928.089844 1660112501.4440
MEM 8054.066406 1660112501.5444
MEM 8150.988281 1660112501.6448
MEM 8355.816406 1660112501.7451
MEM 8626.101562 1660112501.8454
MEM 8606.316406 1660112501.9457
MEM 8732.285156 1660112502.0461
MEM 8840.550781 1660112502.1465
MEM 9038.417969 1660112502.2469
MEM 9324.433594 1660112502.3472
MEM 9392.292969 1660112502.4475
MEM 9409.996094 1660112502.5479
MEM 9629.125000 1660112502.6482
MEM 9764.851562 1660112502.7486
MEM 10002.140625 1660112502.8489
MEM 9960.957031 1660112502.9497
MEM 10070.265625 1660112503.0506
MEM 10128.160156 1660112503.1512
MEM 10403.761719 1660112503.2515
MEM 10472.203125 1660112503.3518
MEM 10589.937500 1660112503.4527
MEM 10640.210938 1660112503.5529
MEM 10758.535156 1660112503.6533
MEM 10779.585938 1660112503.7539
MEM 10987.632812 1660112503.8543
MEM 11114.335938 1660112503.9548
MEM 11276.085938 1660112504.0552
MEM 11292.910156 1660112504.1558
MEM 11426.191406 1660112504.2563
MEM 11444.406250 1660112504.3566
MEM 11574.074219 1660112504.4570
MEM 11792.300781 1660112504.5574
MEM 11951.796875 1660112504.6579
MEM 12104.410156 1660112504.7582
MEM 12197.640625 1660112504.8586
MEM 12372.953125 1660112504.9589
MEM 12404.011719 1660112505.0593
MEM 12535.484375 1660112505.1599
MEM 12632.085938 1660112505.2603
MEM 12782.386719 1660112505.3607
MEM 12805.589844 1660112505.4610
MEM 12817.449219 1660112505.5614
MEM 12824.667969 1660112505.6620
MEM 12824.667969 1660112505.7624
MEM 12824.667969 1660112505.8628
MEM 12824.667969 1660112505.9633
MEM 12824.667969 1660112506.0639
MEM 12824.667969 1660112506.1645
MEM 12824.667969 1660112506.2653
MEM 12824.667969 1660112506.3660
MEM 12824.667969 1660112506.4665
