CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 0.671875 1660100237.5849
MEM 22.261719 1660100237.6852
MEM 34.816406 1660100237.7854
MEM 71.429688 1660100237.8858
MEM 99.558594 1660100237.9861
MEM 141.042969 1660100238.0863
MEM 162.074219 1660100238.1867
MEM 173.121094 1660100238.2869
MEM 185.156250 1660100238.3872
MEM 195.312500 1660100238.4875
MEM 210.058594 1660100238.5878
MEM 211.765625 1660100238.6881
MEM 219.757812 1660100238.7883
MEM 222.191406 1660100238.8886
MEM 223.480469 1660100238.9889
MEM 228.097656 1660100239.0893
MEM 225.789062 1660100239.1896
