CMDLINE /home/jack/anaconda3/bin/python utility.py
MEM 0.656250 1660100482.0454
MEM 22.359375 1660100482.1457
MEM 34.597656 1660100482.2459
MEM 48.531250 1660100482.3462
MEM 80.667969 1660100482.4465
MEM 88.234375 1660100482.5468
MEM 89.457031 1660100482.6471
MEM 94.074219 1660100482.7474
MEM 95.621094 1660100482.8476
MEM 134.160156 1660100482.9480
MEM 157.121094 1660100483.0483
MEM 199.425781 1660100483.1485
MEM 212.203125 1660100483.2488
MEM 219.972656 1660100483.3491
MEM 222.550781 1660100483.4493
MEM 232.527344 1660100483.5496
MEM 243.851562 1660100483.6500
MEM 243.851562 1660100483.7503
MEM 250.464844 1660100483.8506
MEM 280.007812 1660100483.9509
MEM 280.007812 1660100484.0512
MEM 280.007812 1660100484.1514
MEM 280.007812 1660100484.2517
MEM 280.957031 1660100484.3520
MEM 281.214844 1660100484.4523
MEM 281.472656 1660100484.5526
MEM 284.574219 1660100484.6529
MEM 297.898438 1660100484.7531
MEM 297.898438 1660100484.8534
MEM 297.898438 1660100484.9537
MEM 297.898438 1660100485.0540
MEM 297.898438 1660100485.1543
MEM 297.898438 1660100485.2545
MEM 297.898438 1660100485.3548
MEM 297.898438 1660100485.4551
MEM 297.898438 1660100485.5554
MEM 298.640625 1660100485.6557
MEM 298.640625 1660100485.7560
MEM 298.640625 1660100485.8563
MEM 298.640625 1660100485.9566
MEM 298.925781 1660100486.0568
MEM 300.214844 1660100486.1571
MEM 302.019531 1660100486.2574
MEM 308.441406 1660100486.3576
MEM 309.472656 1660100486.4579
MEM 309.472656 1660100486.5582
MEM 309.472656 1660100486.6585
MEM 309.730469 1660100486.7587
MEM 309.730469 1660100486.8590
MEM 309.730469 1660100486.9593
MEM 311.437500 1660100487.0595
MEM 310.878906 1660100487.1599
MEM 310.878906 1660100487.2602
MEM 310.878906 1660100487.3605
MEM 310.878906 1660100487.4608
MEM 310.878906 1660100487.5611
MEM 311.195312 1660100487.6615
MEM 299.894531 1660100487.7619
MEM 299.894531 1660100487.8621
MEM 299.894531 1660100487.9624
MEM 299.894531 1660100488.0627
MEM 299.894531 1660100488.1630
MEM 284.632812 1660100488.2633
MEM 284.632812 1660100488.3636
MEM 284.632812 1660100488.4643
MEM 284.632812 1660100488.5646
MEM 284.632812 1660100488.6653
MEM 284.632812 1660100488.7659
MEM 284.632812 1660100488.8665
MEM 284.632812 1660100488.9667
MEM 284.632812 1660100489.0671
MEM 284.632812 1660100489.1677
MEM 284.632812 1660100489.2682
MEM 284.632812 1660100489.3685
MEM 284.632812 1660100489.4692
MEM 284.632812 1660100489.5695
MEM 284.632812 1660100489.6701
MEM 284.632812 1660100489.7707
MEM 284.632812 1660100489.8713
MEM 284.632812 1660100489.9719
MEM 284.632812 1660100490.0723
MEM 284.632812 1660100490.1726
MEM 284.632812 1660100490.2732
MEM 284.632812 1660100490.3738
MEM 284.632812 1660100490.4744
MEM 284.632812 1660100490.5748
MEM 284.632812 1660100490.6751
MEM 284.632812 1660100490.7757
MEM 284.632812 1660100490.8763
MEM 284.632812 1660100490.9767
MEM 284.632812 1660100491.0772
MEM 284.632812 1660100491.1776
MEM 284.632812 1660100491.2782
MEM 284.632812 1660100491.3788
MEM 284.632812 1660100491.4794
MEM 284.632812 1660100491.5797
MEM 284.632812 1660100491.6804
MEM 284.632812 1660100491.7808
MEM 284.632812 1660100491.8814
MEM 284.632812 1660100491.9820
MEM 284.632812 1660100492.0826
MEM 284.632812 1660100492.1829
MEM 284.632812 1660100492.2834
MEM 284.632812 1660100492.3840
MEM 284.632812 1660100492.4843
MEM 284.632812 1660100492.5850
MEM 284.632812 1660100492.6853
MEM 284.632812 1660100492.7859
MEM 284.632812 1660100492.8865
MEM 284.632812 1660100492.9871
MEM 284.632812 1660100493.0877
MEM 284.632812 1660100493.1883
MEM 284.632812 1660100493.2886
MEM 284.632812 1660100493.3892
MEM 284.632812 1660100493.4898
MEM 284.632812 1660100493.5905
MEM 284.632812 1660100493.6911
MEM 284.632812 1660100493.7916
MEM 284.632812 1660100493.8920
MEM 284.632812 1660100493.9926
MEM 284.632812 1660100494.0930
MEM 284.632812 1660100494.1935
MEM 284.632812 1660100494.2941
MEM 284.632812 1660100494.3944
MEM 284.632812 1660100494.4950
MEM 284.632812 1660100494.5957
MEM 284.632812 1660100494.6964
MEM 284.632812 1660100494.7969
MEM 284.632812 1660100494.8972
MEM 284.632812 1660100494.9979
MEM 284.632812 1660100495.0984
MEM 284.632812 1660100495.1991
MEM 284.632812 1660100495.2998
MEM 284.632812 1660100495.4001
MEM 284.632812 1660100495.5006
MEM 284.632812 1660100495.6013
MEM 284.632812 1660100495.7017
MEM 284.632812 1660100495.8022
MEM 284.632812 1660100495.9026
MEM 284.632812 1660100496.0029
MEM 284.632812 1660100496.1033
MEM 284.632812 1660100496.2038
MEM 284.632812 1660100496.3044
MEM 284.632812 1660100496.4050
MEM 284.632812 1660100496.5053
MEM 284.632812 1660100496.6059
MEM 284.632812 1660100496.7066
MEM 284.632812 1660100496.8071
MEM 284.632812 1660100496.9076
MEM 284.632812 1660100497.0079
MEM 284.632812 1660100497.1083
MEM 284.632812 1660100497.2087
MEM 284.632812 1660100497.3092
MEM 284.632812 1660100497.4100
MEM 284.632812 1660100497.5106
MEM 284.632812 1660100497.6110
MEM 284.632812 1660100497.7116
MEM 284.632812 1660100497.8122
MEM 284.632812 1660100497.9128
MEM 284.632812 1660100498.0134
MEM 284.632812 1660100498.1137
MEM 284.632812 1660100498.2144
MEM 284.632812 1660100498.3150
MEM 284.632812 1660100498.4155
MEM 284.632812 1660100498.5161
MEM 284.632812 1660100498.6165
MEM 284.632812 1660100498.7171
MEM 284.632812 1660100498.8174
MEM 284.632812 1660100498.9180
MEM 284.632812 1660100499.0185
MEM 284.632812 1660100499.1189
MEM 284.632812 1660100499.2193
MEM 284.632812 1660100499.3199
MEM 284.632812 1660100499.4205
MEM 284.632812 1660100499.5211
MEM 284.632812 1660100499.6218
MEM 284.632812 1660100499.7221
MEM 284.632812 1660100499.8227
MEM 284.632812 1660100499.9233
MEM 284.632812 1660100500.0237
MEM 284.632812 1660100500.1240
