CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 0.691406 1660109540.8758
MEM 22.753906 1660109540.9761
MEM 34.988281 1660109541.0764
MEM 78.804688 1660109541.1766
MEM 101.039062 1660109541.2770
MEM 146.445312 1660109541.3772
MEM 166.921875 1660109541.4775
MEM 178.992188 1660109541.5778
MEM 189.941406 1660109541.6781
MEM 207.851562 1660109541.7783
MEM 211.394531 1660109541.8786
MEM 218.871094 1660109541.9789
MEM 221.050781 1660109542.0792
MEM 222.335938 1660109542.1794
MEM 228.335938 1660109542.2797
MEM 232.460938 1660109542.3800
MEM 239.468750 1660109542.4803
MEM 247.550781 1660109542.5806
MEM 253.390625 1660109542.6810
MEM 285.375000 1660109542.7814
MEM 288.527344 1660109542.8816
MEM 305.316406 1660109542.9819
MEM 306.183594 1660109543.0822
MEM 318.917969 1660109543.1824
MEM 320.332031 1660109543.2828
MEM 320.332031 1660109543.3831
MEM 309.218750 1660109543.4839
MEM 309.218750 1660109543.5843
MEM 293.957031 1660109543.6848
MEM 293.957031 1660109543.7854
MEM 293.957031 1660109543.8858
MEM 293.957031 1660109543.9864
MEM 293.957031 1660109544.0868
MEM 293.957031 1660109544.1874
MEM 293.957031 1660109544.2881
MEM 293.957031 1660109544.3888
MEM 293.957031 1660109544.4894
MEM 293.957031 1660109544.5898
MEM 293.957031 1660109544.6904
MEM 293.957031 1660109544.7911
MEM 293.957031 1660109544.8918
MEM 293.957031 1660109544.9921
MEM 293.957031 1660109545.0927
MEM 293.957031 1660109545.1933
MEM 293.957031 1660109545.2940
MEM 293.957031 1660109545.3945
MEM 293.957031 1660109545.4951
MEM 293.957031 1660109545.5954
MEM 293.957031 1660109545.6958
MEM 293.957031 1660109545.7965
MEM 293.957031 1660109545.8971
MEM 293.957031 1660109545.9977
MEM 293.957031 1660109546.0981
MEM 293.957031 1660109546.1987
MEM 293.957031 1660109546.2994
MEM 293.957031 1660109546.4000
MEM 293.957031 1660109546.5005
MEM 293.957031 1660109546.6009
MEM 293.957031 1660109546.7014
MEM 293.957031 1660109546.8020
MEM 293.957031 1660109546.9026
MEM 293.957031 1660109547.0032
MEM 293.957031 1660109547.1039
MEM 293.957031 1660109547.2043
MEM 293.957031 1660109547.3049
MEM 293.957031 1660109547.4055
MEM 293.957031 1660109547.5060
MEM 293.957031 1660109547.6067
MEM 293.957031 1660109547.7074
MEM 293.957031 1660109547.8077
MEM 293.957031 1660109547.9085
MEM 293.957031 1660109548.0092
MEM 293.957031 1660109548.1099
MEM 293.957031 1660109548.2106
MEM 293.957031 1660109548.3109
MEM 293.957031 1660109548.4115
MEM 293.957031 1660109548.5121
MEM 293.957031 1660109548.6126
MEM 293.957031 1660109548.7129
MEM 293.957031 1660109548.8135
MEM 293.957031 1660109548.9141
MEM 293.957031 1660109549.0147
MEM 293.957031 1660109549.1152
MEM 293.957031 1660109549.2158
MEM 293.957031 1660109549.3166
MEM 293.957031 1660109549.4170
MEM 293.957031 1660109549.5177
MEM 293.957031 1660109549.6183
MEM 293.957031 1660109549.7190
MEM 293.957031 1660109549.8196
MEM 293.957031 1660109549.9202
MEM 293.957031 1660109550.0207
MEM 293.957031 1660109550.1211
MEM 293.957031 1660109550.2214
MEM 293.957031 1660109550.3218
MEM 293.957031 1660109550.4224
MEM 293.957031 1660109550.5227
MEM 293.957031 1660109550.6232
MEM 293.957031 1660109550.7238
MEM 293.957031 1660109550.8245
MEM 293.957031 1660109550.9251
MEM 293.957031 1660109551.0258
MEM 293.957031 1660109551.1267
MEM 293.957031 1660109551.2274
MEM 293.957031 1660109551.3278
MEM 293.957031 1660109551.4282
MEM 312.257812 1660109551.5285
MEM 312.773438 1660109551.6288
MEM 328.500000 1660109551.7291
MEM 328.757812 1660109551.8294
MEM 344.402344 1660109551.9297
MEM 344.402344 1660109552.0300
MEM 344.402344 1660109552.1303
MEM 309.843750 1660109552.2307
MEM 309.843750 1660109552.3313
MEM 309.843750 1660109552.4319
MEM 309.843750 1660109552.5326
MEM 309.843750 1660109552.6333
MEM 309.843750 1660109552.7338
MEM 309.843750 1660109552.8342
MEM 309.843750 1660109552.9348
MEM 309.843750 1660109553.0354
MEM 309.843750 1660109553.1360
MEM 309.843750 1660109553.2364
MEM 309.843750 1660109553.3370
MEM 309.843750 1660109553.4374
MEM 309.843750 1660109553.5378
MEM 309.968750 1660109553.6381
MEM 309.968750 1660109553.7384
MEM 309.968750 1660109553.8386
MEM 309.968750 1660109553.9389
MEM 309.968750 1660109554.0392
MEM 309.968750 1660109554.1395
MEM 309.968750 1660109554.2398
MEM 309.968750 1660109554.3401
MEM 309.968750 1660109554.4404
MEM 309.968750 1660109554.5406
MEM 309.968750 1660109554.6409
MEM 309.968750 1660109554.7412
MEM 309.968750 1660109554.8414
MEM 309.968750 1660109554.9417
MEM 309.968750 1660109555.0420
MEM 309.968750 1660109555.1422
MEM 309.968750 1660109555.2425
MEM 309.968750 1660109555.3428
MEM 309.968750 1660109555.4430
MEM 309.968750 1660109555.5433
MEM 309.968750 1660109555.6437
MEM 309.968750 1660109555.7439
MEM 311.519531 1660109555.8442
MEM 311.640625 1660109555.9445
MEM 320.851562 1660109556.0448
MEM 329.679688 1660109556.1452
MEM 338.527344 1660109556.2458
MEM 338.539062 1660109556.3461
MEM 338.996094 1660109556.4464
MEM 338.996094 1660109556.5467
MEM 338.996094 1660109556.6470
MEM 339.070312 1660109556.7473
MEM 339.070312 1660109556.8476
MEM 338.695312 1660109556.9479
MEM 339.347656 1660109557.0482
MEM 339.359375 1660109557.1485
MEM 339.550781 1660109557.2490
MEM 338.707031 1660109557.3493
MEM 339.585938 1660109557.4496
MEM 339.546875 1660109557.5500
MEM 339.554688 1660109557.6503
MEM 338.898438 1660109557.7506
MEM 339.542969 1660109557.8509
MEM 339.554688 1660109557.9512
MEM 339.558594 1660109558.0515
MEM 338.984375 1660109558.1518
MEM 339.175781 1660109558.2520
MEM 339.179688 1660109558.3524
MEM 339.562500 1660109558.4527
MEM 338.906250 1660109558.5530
MEM 339.589844 1660109558.6532
MEM 339.601562 1660109558.7536
MEM 339.605469 1660109558.8539
MEM 339.964844 1660109558.9542
MEM 340.148438 1660109559.0545
MEM 340.156250 1660109559.1550
MEM 340.164062 1660109559.2553
MEM 339.632812 1660109559.3557
MEM 340.152344 1660109559.4560
MEM 340.164062 1660109559.5564
MEM 340.164062 1660109559.6569
MEM 340.167969 1660109559.7573
MEM 339.984375 1660109559.8577
MEM 340.828125 1660109559.9579
MEM 340.824219 1660109560.0582
MEM 340.824219 1660109560.1587
MEM 340.828125 1660109560.2591
MEM 340.828125 1660109560.3594
MEM 340.816406 1660109560.4596
MEM 340.820312 1660109560.5600
MEM 340.828125 1660109560.6603
MEM 340.253906 1660109560.7607
MEM 340.628906 1660109560.8610
MEM 340.640625 1660109560.9613
MEM 340.832031 1660109561.0616
MEM 340.644531 1660109561.1624
MEM 340.832031 1660109561.2627
MEM 340.820312 1660109561.3631
MEM 340.828125 1660109561.4635
MEM 340.832031 1660109561.5638
MEM 340.921875 1660109561.6641
MEM 340.921875 1660109561.7644
MEM 340.906250 1660109561.8657
MEM 340.914062 1660109561.9660
MEM 340.917969 1660109562.0664
MEM 340.921875 1660109562.1668
MEM 340.078125 1660109562.2671
MEM 340.734375 1660109562.3674
MEM 340.726562 1660109562.4677
MEM 340.726562 1660109562.5682
MEM 340.921875 1660109562.6686
MEM 340.718750 1660109562.7689
MEM 340.921875 1660109562.8692
MEM 340.910156 1660109562.9696
MEM 340.914062 1660109563.0700
MEM 340.921875 1660109563.1703
MEM 340.453125 1660109563.2707
MEM 340.910156 1660109563.3710
MEM 340.921875 1660109563.4715
MEM 340.921875 1660109563.5718
MEM 340.925781 1660109563.6721
MEM 340.535156 1660109563.7724
MEM 340.542969 1660109563.8727
MEM 340.542969 1660109563.9731
