CMDLINE /home/jack/anaconda3/bin/python utility.py
MEM 1.492188 1660100448.1949
MEM 18.144531 1660100448.2952
MEM 27.816406 1660100448.3955
MEM 39.164062 1660100448.4958
MEM 73.132812 1660100448.5960
MEM 81.527344 1660100448.6963
MEM 87.171875 1660100448.7965
MEM 89.164062 1660100448.8969
MEM 93.781250 1660100448.9971
MEM 95.328125 1660100449.0974
MEM 128.390625 1660100449.1977
MEM 155.535156 1660100449.2980
MEM 201.851562 1660100449.3983
MEM 213.000000 1660100449.4985
MEM 220.472656 1660100449.5988
MEM 222.535156 1660100449.6990
MEM 233.250000 1660100449.7993
MEM 246.015625 1660100449.8996
MEM 249.492188 1660100449.9999
MEM 279.750000 1660100450.1002
MEM 281.160156 1660100450.2005
MEM 297.609375 1660100450.3008
MEM 298.636719 1660100450.4011
MEM 309.226562 1660100450.5013
MEM 326.382812 1660100450.6017
MEM 310.695312 1660100450.7020
MEM 299.648438 1660100450.8023
MEM 299.648438 1660100450.9026
MEM 299.648438 1660100451.0032
MEM 299.648438 1660100451.1035
MEM 299.648438 1660100451.2039
MEM 299.648438 1660100451.3046
MEM 299.648438 1660100451.4052
MEM 299.648438 1660100451.5058
MEM 299.648438 1660100451.6064
MEM 299.648438 1660100451.7070
MEM 299.648438 1660100451.8073
MEM 299.648438 1660100451.9079
MEM 299.648438 1660100452.0085
MEM 299.648438 1660100452.1091
MEM 299.648438 1660100452.2094
MEM 299.648438 1660100452.3098
MEM 299.648438 1660100452.4104
MEM 299.648438 1660100452.5110
MEM 299.648438 1660100452.6116
MEM 299.648438 1660100452.7123
MEM 299.648438 1660100452.8130
MEM 299.648438 1660100452.9133
MEM 299.648438 1660100453.0139
MEM 299.648438 1660100453.1146
MEM 299.648438 1660100453.2153
MEM 299.648438 1660100453.3158
MEM 299.648438 1660100453.4162
MEM 299.648438 1660100453.5168
MEM 299.648438 1660100453.6174
MEM 299.648438 1660100453.7180
MEM 299.648438 1660100453.8185
MEM 299.648438 1660100453.9191
MEM 299.648438 1660100454.0195
MEM 299.648438 1660100454.1202
MEM 299.648438 1660100454.2208
MEM 299.648438 1660100454.3214
MEM 299.648438 1660100454.4217
MEM 299.648438 1660100454.5222
MEM 299.648438 1660100454.6227
MEM 299.648438 1660100454.7233
MEM 299.648438 1660100454.8238
MEM 299.648438 1660100454.9242
MEM 299.648438 1660100455.0245
MEM 299.648438 1660100455.1248
MEM 299.648438 1660100455.2255
MEM 299.648438 1660100455.3261
MEM 299.648438 1660100455.4267
MEM 299.648438 1660100455.5271
MEM 299.648438 1660100455.6277
MEM 299.648438 1660100455.7283
MEM 299.648438 1660100455.8289
MEM 299.648438 1660100455.9295
MEM 299.648438 1660100456.0300
MEM 299.648438 1660100456.1303
MEM 299.648438 1660100456.2310
MEM 299.648438 1660100456.3315
MEM 299.648438 1660100456.4320
MEM 299.648438 1660100456.5323
MEM 299.648438 1660100456.6326
MEM 299.648438 1660100456.7332
MEM 299.648438 1660100456.8338
MEM 299.648438 1660100456.9344
MEM 299.648438 1660100457.0349
MEM 299.648438 1660100457.1355
MEM 299.648438 1660100457.2359
MEM 299.648438 1660100457.3366
MEM 299.648438 1660100457.4370
MEM 299.648438 1660100457.5377
MEM 299.648438 1660100457.6380
MEM 299.648438 1660100457.7387
MEM 308.152344 1660100457.8390
MEM 318.207031 1660100457.9393
MEM 334.191406 1660100458.0396
MEM 334.449219 1660100458.1399
MEM 334.707031 1660100458.2402
MEM 350.433594 1660100458.3405
MEM 350.433594 1660100458.4410
MEM 350.433594 1660100458.5413
MEM 350.433594 1660100458.6417
MEM 350.433594 1660100458.7421
MEM 350.433594 1660100458.8425
MEM 350.433594 1660100458.9431
MEM 350.433594 1660100459.0437
MEM 350.433594 1660100459.1444
MEM 350.433594 1660100459.2449
MEM 350.433594 1660100459.3455
MEM 350.433594 1660100459.4460
MEM 350.433594 1660100459.5466
MEM 350.433594 1660100459.6469
MEM 350.433594 1660100459.7475
MEM 350.433594 1660100459.8478
MEM 350.433594 1660100459.9482
MEM 335.324219 1660100460.0485
MEM 335.074219 1660100460.1489
