CMDLINE /home/jack/anaconda3/bin/python utility.py
MEM 0.664062 1660100718.8277
MEM 22.371094 1660100718.9280
MEM 34.613281 1660100719.0283
MEM 48.785156 1660100719.1286
MEM 79.941406 1660100719.2289
MEM 87.832031 1660100719.3292
MEM 89.210938 1660100719.4295
MEM 94.335938 1660100719.5298
MEM 95.625000 1660100719.6301
MEM 133.898438 1660100719.7304
MEM 156.648438 1660100719.8306
MEM 203.589844 1660100719.9309
MEM 214.453125 1660100720.0311
MEM 222.242188 1660100720.1314
MEM 224.304688 1660100720.2317
MEM 235.250000 1660100720.3320
MEM 243.015625 1660100720.4324
MEM 244.699219 1660100720.5327
MEM 244.699219 1660100720.6330
MEM 244.699219 1660100720.7334
MEM 244.699219 1660100720.8337
MEM 244.699219 1660100720.9341
MEM 246.824219 1660100721.0344
MEM 246.824219 1660100721.1347
MEM 246.824219 1660100721.2350
MEM 246.824219 1660100721.3353
MEM 246.824219 1660100721.4356
MEM 249.281250 1660100721.5359
MEM 280.105469 1660100721.6363
MEM 280.320312 1660100721.7366
MEM 280.320312 1660100721.8368
MEM 280.320312 1660100721.9371
MEM 281.281250 1660100722.0374
MEM 281.539062 1660100722.1377
MEM 281.796875 1660100722.2379
MEM 298.070312 1660100722.3382
MEM 298.070312 1660100722.4385
MEM 298.070312 1660100722.5388
MEM 298.070312 1660100722.6391
MEM 298.070312 1660100722.7393
MEM 298.070312 1660100722.8396
MEM 298.070312 1660100722.9398
MEM 298.070312 1660100723.0402
MEM 298.070312 1660100723.1405
MEM 298.070312 1660100723.2407
MEM 298.835938 1660100723.3409
MEM 298.835938 1660100723.4412
MEM 298.835938 1660100723.5415
MEM 298.835938 1660100723.6418
MEM 299.136719 1660100723.7420
MEM 300.425781 1660100723.8423
MEM 301.972656 1660100723.9428
MEM 308.566406 1660100724.0431
MEM 309.597656 1660100724.1434
MEM 309.597656 1660100724.2437
MEM 309.597656 1660100724.3439
MEM 309.855469 1660100724.4443
MEM 309.855469 1660100724.5445
MEM 309.855469 1660100724.6448
MEM 311.550781 1660100724.7451
MEM 311.007812 1660100724.8454
MEM 311.007812 1660100724.9456
MEM 311.007812 1660100725.0459
MEM 311.007812 1660100725.1462
MEM 311.007812 1660100725.2465
MEM 299.890625 1660100725.3467
MEM 299.890625 1660100725.4470
MEM 299.890625 1660100725.5473
MEM 299.890625 1660100725.6476
MEM 299.890625 1660100725.7479
MEM 284.628906 1660100725.8482
MEM 284.628906 1660100725.9488
MEM 284.628906 1660100726.0493
MEM 284.628906 1660100726.1496
MEM 284.628906 1660100726.2502
MEM 284.628906 1660100726.3509
MEM 284.628906 1660100726.4515
MEM 284.628906 1660100726.5519
MEM 284.628906 1660100726.6524
MEM 284.628906 1660100726.7528
MEM 284.628906 1660100726.8534
MEM 284.628906 1660100726.9540
MEM 284.628906 1660100727.0545
MEM 284.628906 1660100727.1551
MEM 284.628906 1660100727.2554
MEM 284.628906 1660100727.3559
MEM 284.628906 1660100727.4565
MEM 284.628906 1660100727.5571
MEM 284.628906 1660100727.6577
MEM 284.628906 1660100727.7583
MEM 284.628906 1660100727.8587
MEM 284.628906 1660100727.9593
MEM 284.628906 1660100728.0598
MEM 284.628906 1660100728.1602
MEM 284.628906 1660100728.2608
MEM 284.628906 1660100728.3611
MEM 284.628906 1660100728.4616
MEM 284.628906 1660100728.5622
MEM 284.628906 1660100728.6626
MEM 284.628906 1660100728.7632
MEM 284.628906 1660100728.8638
MEM 284.628906 1660100728.9640
MEM 284.628906 1660100729.0649
MEM 284.628906 1660100729.1655
MEM 284.628906 1660100729.2660
MEM 284.628906 1660100729.3666
MEM 284.628906 1660100729.4670
MEM 284.628906 1660100729.5675
MEM 284.628906 1660100729.6682
MEM 284.628906 1660100729.7688
MEM 284.628906 1660100729.8695
MEM 284.628906 1660100729.9701
MEM 284.628906 1660100730.0704
MEM 284.628906 1660100730.1707
MEM 284.628906 1660100730.2713
MEM 284.628906 1660100730.3717
MEM 284.628906 1660100730.4724
MEM 284.628906 1660100730.5727
MEM 284.628906 1660100730.6733
MEM 284.628906 1660100730.7736
MEM 284.628906 1660100730.8742
MEM 284.628906 1660100730.9748
MEM 284.628906 1660100731.0754
MEM 284.628906 1660100731.1758
MEM 284.628906 1660100731.2762
MEM 284.628906 1660100731.3766
MEM 284.628906 1660100731.4769
MEM 284.628906 1660100731.5772
MEM 284.628906 1660100731.6775
MEM 284.628906 1660100731.7779
MEM 284.628906 1660100731.8786
MEM 284.628906 1660100731.9792
MEM 284.628906 1660100732.0798
MEM 284.628906 1660100732.1801
MEM 284.628906 1660100732.2805
MEM 284.628906 1660100732.3812
MEM 284.628906 1660100732.4818
MEM 284.628906 1660100732.5824
MEM 284.628906 1660100732.6828
MEM 284.628906 1660100732.7835
MEM 302.929688 1660100732.8838
MEM 302.929688 1660100732.9841
MEM 302.929688 1660100733.0843
MEM 303.187500 1660100733.1846
MEM 303.445312 1660100733.2849
MEM 318.914062 1660100733.3852
MEM 318.914062 1660100733.4855
MEM 318.914062 1660100733.5858
MEM 319.171875 1660100733.6860
MEM 319.171875 1660100733.7863
MEM 319.171875 1660100733.8866
MEM 319.171875 1660100733.9869
MEM 319.429688 1660100734.0872
MEM 319.429688 1660100734.1876
MEM 319.429688 1660100734.2879
MEM 319.429688 1660100734.3881
MEM 319.429688 1660100734.4883
MEM 320.460938 1660100734.5886
MEM 335.156250 1660100734.6888
MEM 335.156250 1660100734.7891
MEM 335.156250 1660100734.8894
MEM 335.156250 1660100734.9897
MEM 335.156250 1660100735.0900
MEM 335.156250 1660100735.1902
MEM 335.156250 1660100735.2905
MEM 335.156250 1660100735.3908
MEM 335.156250 1660100735.4910
MEM 335.156250 1660100735.5913
MEM 335.156250 1660100735.6916
MEM 300.605469 1660100735.7923
