CMDLINE /home/jack/anaconda3/bin/python utility.py
MEM 0.632812 1660109159.9987
MEM 21.386719 1660109160.0990
MEM 33.144531 1660109160.1993
MEM 47.046875 1660109160.2996
MEM 79.535156 1660109160.3998
MEM 83.929688 1660109160.5001
MEM 88.785156 1660109160.6004
MEM 93.847656 1660109160.7007
MEM 95.136719 1660109160.8009
MEM 116.242188 1660109160.9012
MEM 151.875000 1660109161.0015
MEM 196.050781 1660109161.1019
MEM 210.878906 1660109161.2022
MEM 217.578125 1660109161.3024
MEM 221.960938 1660109161.4027
MEM 230.640625 1660109161.5030
MEM 245.289062 1660109161.6033
MEM 245.289062 1660109161.7036
MEM 245.804688 1660109161.8038
MEM 357.128906 1660109161.9041
MEM 359.562500 1660109162.0043
MEM 359.562500 1660109162.1046
MEM 359.562500 1660109162.2049
MEM 359.562500 1660109162.3052
MEM 359.562500 1660109162.4055
MEM 359.812500 1660109162.5057
MEM 360.515625 1660109162.6060
MEM 360.773438 1660109162.7063
MEM 361.031250 1660109162.8066
MEM 361.644531 1660109162.9069
MEM 411.660156 1660109163.0072
MEM 423.550781 1660109163.1075
MEM 423.550781 1660109163.2077
MEM 423.550781 1660109163.3080
MEM 423.550781 1660109163.4083
MEM 423.550781 1660109163.5086
MEM 423.550781 1660109163.6089
MEM 423.550781 1660109163.7091
MEM 423.550781 1660109163.8094
MEM 423.550781 1660109163.9097
MEM 423.550781 1660109164.0100
MEM 423.550781 1660109164.1103
MEM 423.550781 1660109164.2105
MEM 423.550781 1660109164.3109
MEM 423.550781 1660109164.4111
MEM 423.550781 1660109164.5114
MEM 423.550781 1660109164.6117
MEM 423.953125 1660109164.7119
MEM 423.953125 1660109164.8122
MEM 423.953125 1660109164.9124
MEM 423.953125 1660109165.0127
MEM 423.953125 1660109165.1131
MEM 424.984375 1660109165.2134
MEM 426.015625 1660109165.3137
MEM 427.820312 1660109165.4140
MEM 433.480469 1660109165.5142
MEM 433.738281 1660109165.6145
MEM 434.511719 1660109165.7148
MEM 434.511719 1660109165.8151
MEM 434.511719 1660109165.9153
MEM 434.511719 1660109166.0156
MEM 434.769531 1660109166.1158
MEM 434.769531 1660109166.2161
MEM 434.769531 1660109166.3163
MEM 434.769531 1660109166.4166
MEM 434.769531 1660109166.5169
MEM 436.484375 1660109166.6172
MEM 436.410156 1660109166.7175
MEM 436.410156 1660109166.8178
MEM 436.410156 1660109166.9181
MEM 436.410156 1660109167.0184
MEM 436.410156 1660109167.1187
MEM 436.410156 1660109167.2190
MEM 436.410156 1660109167.3193
MEM 436.410156 1660109167.4196
MEM 436.410156 1660109167.5198
MEM 340.710938 1660109167.6201
MEM 340.710938 1660109167.7204
MEM 340.710938 1660109167.8207
MEM 340.710938 1660109167.9209
MEM 340.710938 1660109168.0212
MEM 340.710938 1660109168.1215
MEM 340.710938 1660109168.2217
MEM 279.734375 1660109168.3224
MEM 279.734375 1660109168.4230
MEM 279.734375 1660109168.5236
MEM 279.734375 1660109168.6240
MEM 279.734375 1660109168.7243
MEM 279.734375 1660109168.8248
MEM 279.734375 1660109168.9254
MEM 279.734375 1660109169.0260
MEM 279.734375 1660109169.1265
MEM 279.734375 1660109169.2268
MEM 279.734375 1660109169.3272
MEM 279.734375 1660109169.4278
MEM 279.734375 1660109169.5283
MEM 279.734375 1660109169.6285
MEM 279.734375 1660109169.7289
MEM 279.734375 1660109169.8292
MEM 279.734375 1660109169.9297
MEM 272.714844 1660109170.0300
MEM 380.218750 1660109170.1303
MEM 381.765625 1660109170.2307
MEM 381.765625 1660109170.3310
MEM 382.023438 1660109170.4313
MEM 382.281250 1660109170.5315
MEM 382.281250 1660109170.6318
MEM 382.539062 1660109170.7321
MEM 443.640625 1660109170.8323
MEM 443.640625 1660109170.9326
MEM 443.640625 1660109171.0329
MEM 443.898438 1660109171.1332
MEM 443.898438 1660109171.2335
MEM 443.898438 1660109171.3338
MEM 443.898438 1660109171.4341
MEM 443.898438 1660109171.5343
MEM 443.898438 1660109171.6346
MEM 443.898438 1660109171.7349
MEM 444.156250 1660109171.8352
MEM 444.156250 1660109171.9355
MEM 444.156250 1660109172.0358
MEM 444.156250 1660109172.1361
MEM 444.156250 1660109172.2363
MEM 444.156250 1660109172.3366
MEM 444.156250 1660109172.4368
MEM 445.187500 1660109172.5371
MEM 445.121094 1660109172.6374
MEM 445.121094 1660109172.7378
MEM 445.121094 1660109172.8380
MEM 445.121094 1660109172.9383
MEM 445.121094 1660109173.0386
MEM 445.121094 1660109173.1390
MEM 445.121094 1660109173.2393
MEM 445.121094 1660109173.3396
MEM 445.121094 1660109173.4399
MEM 445.121094 1660109173.5401
MEM 348.683594 1660109173.6403
MEM 348.683594 1660109173.7406
MEM 348.683594 1660109173.8409
MEM 348.683594 1660109173.9412
MEM 348.683594 1660109174.0414
MEM 348.683594 1660109174.1417
MEM 348.683594 1660109174.2420
MEM 287.742188 1660109174.3423
MEM 284.050781 1660109174.4426
MEM 283.800781 1660109174.5429
MEM 268.675781 1660109174.6432
