CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 0.652344 1660112343.4452
MEM 22.394531 1660112343.5455
MEM 34.632812 1660112343.6457
MEM 67.820312 1660112343.7460
MEM 99.414062 1660112343.8463
MEM 139.164062 1660112343.9465
MEM 152.421875 1660112344.0469
MEM 165.582031 1660112344.1472
MEM 176.242188 1660112344.2475
MEM 187.410156 1660112344.3479
MEM 195.406250 1660112344.4483
MEM 209.296875 1660112344.5486
MEM 211.730469 1660112344.6488
MEM 219.464844 1660112344.7492
MEM 221.406250 1660112344.8496
MEM 222.691406 1660112344.9499
MEM 223.722656 1660112345.0503
MEM 232.734375 1660112345.1505
MEM 234.281250 1660112345.2508
MEM 241.898438 1660112345.3511
MEM 252.910156 1660112345.4514
MEM 252.910156 1660112345.5517
MEM 252.910156 1660112345.6519
MEM 252.910156 1660112345.7522
MEM 252.910156 1660112345.8525
MEM 252.910156 1660112345.9528
MEM 252.910156 1660112346.0531
MEM 252.910156 1660112346.1533
MEM 252.910156 1660112346.2536
MEM 252.910156 1660112346.3539
MEM 252.910156 1660112346.4541
MEM 252.910156 1660112346.5544
MEM 252.910156 1660112346.6547
MEM 252.910156 1660112346.7550
MEM 252.910156 1660112346.8553
MEM 252.910156 1660112346.9556
MEM 252.910156 1660112347.0559
MEM 252.910156 1660112347.1562
MEM 252.910156 1660112347.2565
MEM 252.910156 1660112347.3568
MEM 252.910156 1660112347.4570
MEM 252.910156 1660112347.5573
MEM 254.781250 1660112347.6577
MEM 256.003906 1660112347.7580
MEM 256.859375 1660112347.8584
MEM 261.914062 1660112347.9587
MEM 284.171875 1660112348.0590
MEM 284.867188 1660112348.1596
MEM 282.824219 1660112348.2600
MEM 279.824219 1660112348.3604
