CMDLINE /home/jack/anaconda3/bin/python utility.py
MEM 0.679688 1660109030.0749
MEM 22.429688 1660109030.1752
MEM 33.738281 1660109030.2755
MEM 46.843750 1660109030.3757
MEM 79.160156 1660109030.4760
MEM 83.285156 1660109030.5764
MEM 89.183594 1660109030.6767
MEM 92.027344 1660109030.7770
MEM 95.527344 1660109030.8773
MEM 100.992188 1660109030.9776
MEM 146.796875 1660109031.0779
MEM 191.515625 1660109031.1782
MEM 208.718750 1660109031.2785
MEM 215.632812 1660109031.3788
MEM 222.070312 1660109031.4790
MEM 229.152344 1660109031.5793
MEM 240.699219 1660109031.6795
MEM 243.710938 1660109031.7798
MEM 246.339844 1660109031.8801
MEM 277.464844 1660109031.9804
MEM 279.953125 1660109032.0807
MEM 279.953125 1660109032.1809
MEM 279.953125 1660109032.2812
MEM 279.953125 1660109032.3815
MEM 279.953125 1660109032.4818
MEM 280.203125 1660109032.5821
MEM 280.882812 1660109032.6824
MEM 281.140625 1660109032.7826
MEM 281.140625 1660109032.8829
MEM 282.218750 1660109032.9831
MEM 297.437500 1660109033.0835
MEM 297.792969 1660109033.1838
MEM 297.792969 1660109033.2841
MEM 297.792969 1660109033.3844
MEM 297.792969 1660109033.4847
MEM 297.792969 1660109033.5850
MEM 297.792969 1660109033.6853
MEM 297.792969 1660109033.7855
MEM 297.792969 1660109033.8858
MEM 297.792969 1660109033.9861
MEM 298.644531 1660109034.0864
MEM 298.644531 1660109034.1867
MEM 298.644531 1660109034.2870
MEM 298.644531 1660109034.3873
MEM 298.644531 1660109034.4876
MEM 298.644531 1660109034.5879
MEM 298.644531 1660109034.6882
MEM 298.644531 1660109034.7884
MEM 298.644531 1660109034.8887
MEM 298.644531 1660109034.9890
MEM 299.011719 1660109035.0892
MEM 299.011719 1660109035.1896
MEM 300.042969 1660109035.2898
MEM 301.074219 1660109035.3901
MEM 302.621094 1660109035.4904
MEM 308.621094 1660109035.5907
MEM 308.878906 1660109035.6909
MEM 309.652344 1660109035.7912
MEM 309.652344 1660109035.8915
MEM 309.652344 1660109035.9917
MEM 309.652344 1660109036.0920
MEM 309.910156 1660109036.1924
MEM 309.910156 1660109036.2926
MEM 309.910156 1660109036.3929
MEM 309.910156 1660109036.4932
MEM 309.910156 1660109036.5935
MEM 311.589844 1660109036.6938
MEM 311.054688 1660109036.7941
MEM 311.054688 1660109036.8944
MEM 311.312500 1660109036.9947
MEM 311.312500 1660109037.0950
MEM 311.312500 1660109037.1953
MEM 311.312500 1660109037.2955
MEM 311.312500 1660109037.3958
MEM 300.199219 1660109037.4963
MEM 300.199219 1660109037.5966
MEM 300.199219 1660109037.6969
MEM 300.199219 1660109037.7971
MEM 300.199219 1660109037.8974
MEM 300.199219 1660109037.9977
MEM 300.199219 1660109038.0980
MEM 300.199219 1660109038.1982
MEM 284.937500 1660109038.2986
MEM 284.937500 1660109038.3992
MEM 284.937500 1660109038.4996
MEM 284.937500 1660109038.6000
MEM 284.937500 1660109038.7003
MEM 284.937500 1660109038.8009
MEM 284.937500 1660109038.9016
MEM 284.937500 1660109039.0024
MEM 302.980469 1660109039.1027
MEM 302.980469 1660109039.2030
MEM 302.980469 1660109039.3033
MEM 303.238281 1660109039.4036
MEM 303.496094 1660109039.5039
MEM 303.753906 1660109039.6042
MEM 303.753906 1660109039.7045
MEM 319.222656 1660109039.8048
MEM 319.222656 1660109039.9050
MEM 319.222656 1660109040.0053
MEM 319.222656 1660109040.1056
MEM 319.222656 1660109040.2059
MEM 319.480469 1660109040.3063
MEM 319.480469 1660109040.4066
MEM 319.480469 1660109040.5069
MEM 319.480469 1660109040.6072
MEM 319.480469 1660109040.7074
MEM 319.480469 1660109040.8078
MEM 319.480469 1660109040.9080
MEM 319.480469 1660109041.0083
MEM 319.480469 1660109041.1085
MEM 319.738281 1660109041.2088
MEM 319.738281 1660109041.3091
MEM 319.738281 1660109041.4094
MEM 319.738281 1660109041.5096
MEM 335.207031 1660109041.6099
MEM 335.207031 1660109041.7102
MEM 335.207031 1660109041.8104
MEM 335.207031 1660109041.9107
MEM 335.207031 1660109042.0110
MEM 335.207031 1660109042.1113
MEM 335.207031 1660109042.2116
MEM 335.207031 1660109042.3119
MEM 335.207031 1660109042.4122
MEM 335.207031 1660109042.5125
MEM 335.207031 1660109042.6128
MEM 335.207031 1660109042.7131
MEM 335.207031 1660109042.8133
MEM 335.207031 1660109042.9136
MEM 335.207031 1660109043.0139
MEM 300.957031 1660109043.1144
MEM 300.957031 1660109043.2147
MEM 300.769531 1660109043.3151
MEM 296.562500 1660109043.4154
