CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 0.652344 1660099404.9464
MEM 22.484375 1660099405.0467
MEM 35.050781 1660099405.1473
MEM 67.089844 1660099405.2476
MEM 92.953125 1660099405.3479
MEM 141.046875 1660099405.4482
MEM 164.335938 1660099405.5486
MEM 177.113281 1660099405.6488
MEM 188.785156 1660099405.7491
MEM 203.558594 1660099405.8494
MEM 211.039062 1660099405.9497
MEM 219.289062 1660099406.0499
MEM 221.210938 1660099406.1502
MEM 222.753906 1660099406.2505
MEM 223.527344 1660099406.3509
MEM 230.625000 1660099406.4512
MEM 232.945312 1660099406.5515
MEM 241.019531 1660099406.6518
MEM 247.679688 1660099406.7521
MEM 250.949219 1660099406.8523
MEM 250.949219 1660099406.9526
MEM 250.949219 1660099407.0529
MEM 250.949219 1660099407.1532
MEM 250.949219 1660099407.2535
MEM 250.949219 1660099407.3538
MEM 250.949219 1660099407.4541
MEM 250.949219 1660099407.5544
MEM 250.949219 1660099407.6547
MEM 250.949219 1660099407.7550
MEM 250.949219 1660099407.8553
MEM 250.949219 1660099407.9556
MEM 250.949219 1660099408.0559
MEM 250.949219 1660099408.1560
MEM 250.949219 1660099408.2563
MEM 250.949219 1660099408.3566
MEM 250.949219 1660099408.4569
MEM 250.949219 1660099408.5572
MEM 250.949219 1660099408.6574
MEM 250.949219 1660099408.7577
MEM 250.949219 1660099408.8580
MEM 250.949219 1660099408.9583
MEM 253.898438 1660099409.0587
MEM 255.320312 1660099409.1590
MEM 256.742188 1660099409.2594
MEM 263.152344 1660099409.3597
MEM 292.027344 1660099409.4600
MEM 296.847656 1660099409.5603
MEM 296.917969 1660099409.6606
MEM 296.917969 1660099409.7609
MEM 297.753906 1660099409.8612
MEM 297.781250 1660099409.9628
MEM 297.839844 1660099410.0633
MEM 297.843750 1660099410.1636
MEM 295.300781 1660099410.2639
MEM 298.062500 1660099410.3643
MEM 299.074219 1660099410.4646
MEM 299.085938 1660099410.5649
MEM 299.085938 1660099410.6653
MEM 299.355469 1660099410.7656
MEM 297.507812 1660099410.8661
MEM 297.539062 1660099410.9664
MEM 297.539062 1660099411.0668
MEM 299.335938 1660099411.1672
MEM 294.964844 1660099411.2676
MEM 294.976562 1660099411.3679
MEM 294.976562 1660099411.4683
MEM 299.476562 1660099411.5686
MEM 296.527344 1660099411.6689
MEM 296.753906 1660099411.7692
MEM 296.765625 1660099411.8695
MEM 297.035156 1660099411.9698
MEM 299.636719 1660099412.0701
MEM 297.566406 1660099412.1704
MEM 297.578125 1660099412.2707
MEM 297.867188 1660099412.3710
MEM 298.179688 1660099412.4716
MEM 298.933594 1660099412.5719
MEM 298.945312 1660099412.6723
MEM 298.945312 1660099412.7727
MEM 300.808594 1660099412.8731
MEM 303.734375 1660099412.9734
MEM 303.718750 1660099413.0737
