CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 0.660156 1660110988.2554
MEM 22.238281 1660110988.3557
MEM 34.171875 1660110988.4560
MEM 64.828125 1660110988.5564
MEM 99.558594 1660110988.6567
MEM 145.195312 1660110988.7570
MEM 165.859375 1660110988.8572
MEM 178.898438 1660110988.9575
MEM 189.523438 1660110989.0579
MEM 205.191406 1660110989.1582
MEM 210.507812 1660110989.2585
MEM 218.757812 1660110989.3588
MEM 220.687500 1660110989.4590
MEM 222.230469 1660110989.5594
MEM 223.261719 1660110989.6596
MEM 232.351562 1660110989.7599
MEM 235.960938 1660110989.8603
MEM 243.148438 1660110989.9605
MEM 250.386719 1660110990.0608
MEM 250.386719 1660110990.1611
MEM 250.386719 1660110990.2614
MEM 250.386719 1660110990.3617
MEM 250.386719 1660110990.4620
MEM 250.386719 1660110990.5623
MEM 250.386719 1660110990.6626
MEM 250.386719 1660110990.7629
MEM 250.386719 1660110990.8632
MEM 250.386719 1660110990.9635
MEM 250.386719 1660110991.0638
MEM 250.386719 1660110991.1641
MEM 250.386719 1660110991.2643
MEM 250.386719 1660110991.3646
MEM 250.386719 1660110991.4648
MEM 250.386719 1660110991.5651
MEM 250.386719 1660110991.6654
MEM 250.386719 1660110991.7656
MEM 250.386719 1660110991.8659
MEM 250.386719 1660110991.9662
MEM 250.386719 1660110992.0665
MEM 254.664062 1660110992.1668
MEM 255.089844 1660110992.2672
MEM 255.089844 1660110992.3679
MEM 255.089844 1660110992.4687
MEM 255.089844 1660110992.5694
MEM 255.089844 1660110992.6698
MEM 255.089844 1660110992.7704
MEM 255.089844 1660110992.8710
MEM 255.089844 1660110992.9717
MEM 255.089844 1660110993.0719
MEM 255.089844 1660110993.1725
MEM 255.089844 1660110993.2729
MEM 255.089844 1660110993.3733
MEM 255.089844 1660110993.4739
MEM 255.089844 1660110993.5746
MEM 255.089844 1660110993.6752
MEM 255.089844 1660110993.7756
MEM 255.089844 1660110993.8761
MEM 255.089844 1660110993.9767
MEM 255.089844 1660110994.0774
MEM 255.089844 1660110994.1778
MEM 255.089844 1660110994.2787
MEM 255.089844 1660110994.3791
MEM 255.089844 1660110994.4794
MEM 255.089844 1660110994.5801
MEM 255.089844 1660110994.6804
MEM 255.089844 1660110994.7809
MEM 255.089844 1660110994.8813
MEM 255.089844 1660110994.9820
MEM 255.089844 1660110995.0825
MEM 255.089844 1660110995.1832
MEM 255.089844 1660110995.2838
MEM 255.089844 1660110995.3845
MEM 255.089844 1660110995.4848
MEM 255.089844 1660110995.5854
MEM 255.089844 1660110995.6860
MEM 255.089844 1660110995.7867
MEM 255.089844 1660110995.8873
MEM 255.089844 1660110995.9877
MEM 255.089844 1660110996.0884
MEM 255.089844 1660110996.1887
MEM 255.089844 1660110996.2892
MEM 255.089844 1660110996.3899
MEM 255.089844 1660110996.4903
MEM 255.089844 1660110996.5907
MEM 255.089844 1660110996.6911
MEM 255.089844 1660110996.7917
MEM 255.089844 1660110996.8923
MEM 255.089844 1660110996.9926
MEM 255.089844 1660110997.0930
MEM 255.089844 1660110997.1935
MEM 255.089844 1660110997.2941
MEM 255.089844 1660110997.3947
MEM 255.089844 1660110997.4953
MEM 255.089844 1660110997.5956
MEM 255.089844 1660110997.6960
MEM 255.089844 1660110997.7963
MEM 255.089844 1660110997.8969
MEM 255.089844 1660110997.9975
MEM 255.089844 1660110998.0978
MEM 255.089844 1660110998.1984
MEM 255.089844 1660110998.2990
MEM 255.089844 1660110998.3996
MEM 255.089844 1660110998.5004
MEM 255.089844 1660110998.6010
MEM 255.089844 1660110998.7014
MEM 255.089844 1660110998.8017
MEM 255.089844 1660110998.9023
MEM 255.089844 1660110999.0029
MEM 255.089844 1660110999.1036
MEM 255.089844 1660110999.2040
