CMDLINE /home/jack/anaconda3/bin/python utility.py
MEM 0.656250 1660109433.8755
MEM 22.664062 1660109433.9757
MEM 34.582031 1660109434.0760
MEM 47.425781 1660109434.1764
MEM 80.605469 1660109434.2767
MEM 84.226562 1660109434.3769
MEM 89.355469 1660109434.4772
MEM 93.652344 1660109434.5775
MEM 95.449219 1660109434.6778
MEM 116.718750 1660109434.7781
MEM 150.164062 1660109434.8784
MEM 194.789062 1660109434.9787
MEM 211.472656 1660109435.0790
MEM 218.687500 1660109435.1792
MEM 222.812500 1660109435.2795
MEM 231.250000 1660109435.3798
MEM 242.550781 1660109435.4801
MEM 246.285156 1660109435.5804
MEM 246.800781 1660109435.6806
MEM 277.839844 1660109435.7809
MEM 280.312500 1660109435.8812
MEM 280.312500 1660109435.9815
MEM 280.312500 1660109436.0818
MEM 280.312500 1660109436.1820
MEM 280.312500 1660109436.2823
MEM 281.199219 1660109436.3827
MEM 281.199219 1660109436.4829
MEM 281.457031 1660109436.5833
MEM 281.714844 1660109436.6835
MEM 282.347656 1660109436.7838
MEM 297.914062 1660109436.8840
MEM 297.914062 1660109436.9843
MEM 297.914062 1660109437.0845
MEM 297.914062 1660109437.1848
MEM 297.914062 1660109437.2851
MEM 297.914062 1660109437.3853
MEM 297.914062 1660109437.4856
MEM 297.914062 1660109437.5859
MEM 297.914062 1660109437.6861
MEM 297.914062 1660109437.7865
MEM 297.914062 1660109437.8867
MEM 297.914062 1660109437.9870
MEM 297.914062 1660109438.0873
MEM 297.914062 1660109438.1875
MEM 298.808594 1660109438.2878
MEM 298.808594 1660109438.3881
MEM 298.808594 1660109438.4884
MEM 298.808594 1660109438.5887
MEM 298.808594 1660109438.6890
MEM 299.113281 1660109438.7893
MEM 299.113281 1660109438.8895
MEM 299.113281 1660109438.9900
MEM 300.660156 1660109439.0903
MEM 301.175781 1660109439.1906
MEM 303.238281 1660109439.2909
MEM 308.500000 1660109439.3911
MEM 309.015625 1660109439.4914
MEM 309.531250 1660109439.5917
MEM 309.531250 1660109439.6919
MEM 309.531250 1660109439.7922
MEM 309.531250 1660109439.8925
MEM 309.789062 1660109439.9927
MEM 309.789062 1660109440.0930
MEM 309.789062 1660109440.1933
MEM 309.789062 1660109440.2936
MEM 309.789062 1660109440.3939
MEM 310.941406 1660109440.4943
MEM 310.941406 1660109440.5946
MEM 310.941406 1660109440.6949
MEM 310.941406 1660109440.7952
MEM 310.941406 1660109440.8955
MEM 310.941406 1660109440.9957
MEM 310.941406 1660109441.0960
MEM 310.941406 1660109441.1963
MEM 299.828125 1660109441.2965
MEM 299.828125 1660109441.3968
MEM 299.828125 1660109441.4971
MEM 299.828125 1660109441.5973
MEM 299.828125 1660109441.6977
MEM 299.828125 1660109441.7980
MEM 299.828125 1660109441.8983
MEM 284.566406 1660109441.9986
MEM 284.566406 1660109442.0993
MEM 284.566406 1660109442.1999
MEM 284.566406 1660109442.3006
MEM 284.566406 1660109442.4011
MEM 284.566406 1660109442.5014
MEM 284.566406 1660109442.6019
MEM 284.566406 1660109442.7025
MEM 284.566406 1660109442.8028
MEM 284.566406 1660109442.9031
MEM 284.566406 1660109443.0035
MEM 284.566406 1660109443.1042
MEM 284.566406 1660109443.2048
MEM 284.566406 1660109443.3055
MEM 284.566406 1660109443.4058
MEM 284.566406 1660109443.5062
MEM 284.566406 1660109443.6069
MEM 284.566406 1660109443.7075
MEM 284.566406 1660109443.8082
MEM 284.566406 1660109443.9087
MEM 284.566406 1660109444.0091
MEM 284.566406 1660109444.1096
MEM 284.566406 1660109444.2103
MEM 284.566406 1660109444.3107
MEM 302.867188 1660109444.4110
MEM 302.867188 1660109444.5113
MEM 302.867188 1660109444.6116
MEM 302.867188 1660109444.7119
MEM 303.125000 1660109444.8122
MEM 303.382812 1660109444.9124
MEM 318.851562 1660109445.0127
MEM 318.851562 1660109445.1130
MEM 318.851562 1660109445.2133
MEM 318.851562 1660109445.3136
MEM 318.851562 1660109445.4138
MEM 319.109375 1660109445.5141
MEM 319.109375 1660109445.6144
MEM 319.109375 1660109445.7147
MEM 319.109375 1660109445.8149
MEM 319.109375 1660109445.9152
MEM 319.109375 1660109446.0155
MEM 319.367188 1660109446.1157
MEM 319.367188 1660109446.2160
MEM 319.367188 1660109446.3163
MEM 319.367188 1660109446.4166
MEM 319.367188 1660109446.5169
MEM 319.367188 1660109446.6171
MEM 319.367188 1660109446.7174
MEM 334.992188 1660109446.8177
MEM 334.992188 1660109446.9179
MEM 334.992188 1660109447.0182
MEM 334.992188 1660109447.1185
MEM 334.992188 1660109447.2188
MEM 334.992188 1660109447.3191
MEM 334.992188 1660109447.4194
MEM 334.992188 1660109447.5197
MEM 334.992188 1660109447.6200
MEM 334.992188 1660109447.7204
MEM 334.992188 1660109447.8206
MEM 334.992188 1660109447.9209
MEM 334.992188 1660109448.0212
MEM 334.992188 1660109448.1214
MEM 334.992188 1660109448.2217
MEM 300.429688 1660109448.3221
MEM 300.429688 1660109448.4224
MEM 300.429688 1660109448.5229
MEM 300.429688 1660109448.6232
MEM 300.429688 1660109448.7236
MEM 300.429688 1660109448.8243
MEM 300.429688 1660109448.9250
MEM 300.429688 1660109449.0255
MEM 300.429688 1660109449.1261
MEM 300.429688 1660109449.2266
MEM 300.429688 1660109449.3269
MEM 300.429688 1660109449.4270
MEM 300.429688 1660109449.5273
MEM 300.429688 1660109449.6277
MEM 300.429688 1660109449.7279
MEM 300.242188 1660109449.8284
MEM 296.285156 1660109449.9286
