CMDLINE /home/jack/anaconda3/bin/python utility.py
MEM 0.644531 1660103782.6567
MEM 21.769531 1660103782.7570
MEM 33.750000 1660103782.8573
MEM 47.320312 1660103782.9576
MEM 79.773438 1660103783.0579
MEM 83.593750 1660103783.1582
MEM 88.968750 1660103783.2585
MEM 91.566406 1660103783.3588
MEM 94.871094 1660103783.4590
MEM 102.496094 1660103783.5593
MEM 149.039062 1660103783.6595
MEM 194.117188 1660103783.7598
MEM 211.207031 1660103783.8601
MEM 218.996094 1660103783.9603
MEM 222.863281 1660103784.0606
MEM 231.316406 1660103784.1608
MEM 242.035156 1660103784.2610
MEM 246.574219 1660103784.3613
MEM 247.089844 1660103784.4616
MEM 247.089844 1660103784.5619
MEM 244.429688 1660103784.6622
