CMDLINE /home/jack/anaconda3/bin/python main.py
MEM 1.523438 1660100046.5911
MEM 22.210938 1660100046.6914
MEM 34.140625 1660100046.7917
MEM 47.933594 1660100046.8920
MEM 91.859375 1660100046.9923
MEM 135.082031 1660100047.0926
MEM 162.773438 1660100047.1929
MEM 174.980469 1660100047.2932
MEM 188.742188 1660100047.3935
MEM 195.160156 1660100047.4939
MEM 210.742188 1660100047.5942
MEM 212.785156 1660100047.6944
MEM 220.042969 1660100047.7947
MEM 222.179688 1660100047.8950
MEM 223.468750 1660100047.9953
MEM 229.027344 1660100048.0956
MEM 232.894531 1660100048.1959
MEM 241.988281 1660100048.2962
MEM 250.449219 1660100048.3964
MEM 250.882812 1660100048.4967
MEM 250.882812 1660100048.5970
MEM 250.882812 1660100048.6972
MEM 250.882812 1660100048.7975
MEM 250.882812 1660100048.8978
MEM 250.882812 1660100048.9981
MEM 250.882812 1660100049.0984
MEM 250.882812 1660100049.1987
MEM 250.882812 1660100049.2989
MEM 250.882812 1660100049.3992
MEM 250.882812 1660100049.4995
MEM 250.882812 1660100049.5997
MEM 250.882812 1660100049.7000
MEM 250.882812 1660100049.8003
MEM 250.882812 1660100049.9006
MEM 250.882812 1660100050.0009
MEM 250.882812 1660100050.1011
MEM 250.882812 1660100050.2014
MEM 250.882812 1660100050.3017
MEM 250.882812 1660100050.4021
MEM 255.578125 1660100050.5023
MEM 256.035156 1660100050.6027
MEM 269.550781 1660100050.7030
MEM 291.261719 1660100050.8033
MEM 295.386719 1660100050.9036
MEM 295.414062 1660100051.0039
MEM 295.414062 1660100051.1044
MEM 297.628906 1660100051.2047
MEM 297.875000 1660100051.3050
MEM 297.882812 1660100051.4053
MEM 297.882812 1660100051.5056
MEM 296.464844 1660100051.6059
MEM 298.195312 1660100051.7063
MEM 298.207031 1660100051.8067
MEM 298.210938 1660100051.9070
MEM 298.890625 1660100052.0073
MEM 297.910156 1660100052.1076
MEM 297.917969 1660100052.2080
MEM 298.191406 1660100052.3083
MEM 299.371094 1660100052.4086
MEM 299.367188 1660100052.5089
MEM 299.375000 1660100052.6093
MEM 300.445312 1660100052.7096
MEM 302.089844 1660100052.8099
MEM 302.101562 1660100052.9102
MEM 302.140625 1660100053.0105
MEM 297.644531 1660100053.1108
MEM 299.320312 1660100053.2111
MEM 299.312500 1660100053.3114
MEM 299.312500 1660100053.4119
MEM 299.683594 1660100053.5122
MEM 298.843750 1660100053.6126
MEM 297.980469 1660100053.7129
MEM 297.984375 1660100053.8132
MEM 299.652344 1660100053.9136
MEM 298.726562 1660100054.0139
MEM 298.714844 1660100054.1142
MEM 298.718750 1660100054.2145
MEM 299.570312 1660100054.3148
MEM 296.406250 1660100054.4151
MEM 296.398438 1660100054.5154
MEM 296.398438 1660100054.6158
MEM 299.804688 1660100054.7162
MEM 294.621094 1660100054.8165
MEM 295.035156 1660100054.9167
MEM 295.039062 1660100055.0171
MEM 296.632812 1660100055.1174
MEM 297.402344 1660100055.2176
MEM 297.410156 1660100055.3179
MEM 297.410156 1660100055.4184
MEM 298.371094 1660100055.5187
MEM 299.761719 1660100055.6190
MEM 299.875000 1660100055.7193
MEM 299.878906 1660100055.8196
MEM 300.089844 1660100055.9200
MEM 298.289062 1660100056.0205
MEM 298.281250 1660100056.1208
MEM 298.617188 1660100056.2211
MEM 297.773438 1660100056.3214
MEM 296.746094 1660100056.4217
MEM 296.753906 1660100056.5220
MEM 296.929688 1660100056.6224
MEM 300.730469 1660100056.7227
MEM 299.949219 1660100056.8235
MEM 299.953125 1660100056.9240
MEM 300.304688 1660100057.0243
MEM 301.839844 1660100057.1246
MEM 302.230469 1660100057.2248
MEM 302.242188 1660100057.3251
MEM 302.242188 1660100057.4256
MEM 298.523438 1660100057.5260
MEM 298.167969 1660100057.6262
MEM 298.179688 1660100057.7265
MEM 298.179688 1660100057.8271
MEM 300.750000 1660100057.9274
MEM 302.042969 1660100058.0278
MEM 298.699219 1660100058.1281
MEM 298.710938 1660100058.2285
MEM 298.824219 1660100058.3288
MEM 299.871094 1660100058.4293
MEM 300.039062 1660100058.5296
MEM 300.050781 1660100058.6300
MEM 300.390625 1660100058.7303
MEM 297.890625 1660100058.8306
MEM 299.695312 1660100058.9309
MEM 299.703125 1660100059.0313
MEM 299.710938 1660100059.1316
MEM 299.832031 1660100059.2319
MEM 300.902344 1660100059.3323
MEM 300.910156 1660100059.4327
MEM 300.910156 1660100059.5331
MEM 299.402344 1660100059.6334
MEM 299.332031 1660100059.7338
MEM 299.343750 1660100059.8342
MEM 299.402344 1660100059.9345
MEM 300.101562 1660100060.0348
MEM 300.132812 1660100060.1351
MEM 300.136719 1660100060.2354
MEM 300.320312 1660100060.3357
MEM 298.203125 1660100060.4360
MEM 297.671875 1660100060.5363
MEM 297.679688 1660100060.6366
MEM 297.679688 1660100060.7370
MEM 297.687500 1660100060.8373
MEM 298.273438 1660100060.9375
MEM 298.285156 1660100061.0379
MEM 298.531250 1660100061.1382
MEM 302.164062 1660100061.2385
MEM 302.343750 1660100061.3388
MEM 302.343750 1660100061.4392
MEM 302.914062 1660100061.5395
MEM 302.320312 1660100061.6399
MEM 300.785156 1660100061.7403
MEM 300.792969 1660100061.8406
MEM 300.847656 1660100061.9412
MEM 297.750000 1660100062.0415
MEM 299.609375 1660100062.1418
MEM 299.621094 1660100062.2421
MEM 299.730469 1660100062.3424
MEM 301.640625 1660100062.4427
MEM 300.699219 1660100062.5430
MEM 300.707031 1660100062.6434
MEM 300.855469 1660100062.7438
MEM 301.324219 1660100062.8442
MEM 300.394531 1660100062.9445
MEM 300.347656 1660100063.0448
MEM 300.351562 1660100063.1451
MEM 298.109375 1660100063.2454
MEM 299.269531 1660100063.3457
MEM 299.281250 1660100063.4461
MEM 299.742188 1660100063.5464
MEM 303.234375 1660100063.6467
MEM 300.218750 1660100063.7470
MEM 300.226562 1660100063.8474
MEM 300.234375 1660100063.9477
MEM 300.195312 1660100064.0481
MEM 299.070312 1660100064.1483
MEM 299.074219 1660100064.2487
MEM 299.207031 1660100064.3490
MEM 300.453125 1660100064.4493
MEM 300.445312 1660100064.5496
MEM 300.453125 1660100064.6499
MEM 301.710938 1660100064.7502
MEM 302.011719 1660100064.8505
MEM 301.996094 1660100064.9508
MEM 302.007812 1660100065.0512
MEM 302.300781 1660100065.1515
MEM 303.425781 1660100065.2517
MEM 303.417969 1660100065.3520
MEM 303.417969 1660100065.4524
MEM 301.710938 1660100065.5527
MEM 302.101562 1660100065.6530
MEM 302.109375 1660100065.7534
MEM 302.554688 1660100065.8537
MEM 300.613281 1660100065.9540
MEM 301.257812 1660100066.0543
MEM 301.269531 1660100066.1547
MEM 301.273438 1660100066.2550
MEM 304.367188 1660100066.3553
MEM 298.871094 1660100066.4556
MEM 298.871094 1660100066.5560
MEM 299.574219 1660100066.6563
MEM 301.156250 1660100066.7566
MEM 299.320312 1660100066.8569
MEM 299.332031 1660100066.9573
MEM 299.390625 1660100067.0577
MEM 298.925781 1660100067.1585
MEM 300.898438 1660100067.2589
MEM 301.226562 1660100067.3592
MEM 301.230469 1660100067.4596
MEM 301.242188 1660100067.5599
MEM 302.882812 1660100067.6603
MEM 303.230469 1660100067.7606
MEM 303.242188 1660100067.8611
MEM 303.246094 1660100067.9614
MEM 303.394531 1660100068.0617
MEM 299.890625 1660100068.1620
MEM 299.875000 1660100068.2623
MEM 299.882812 1660100068.3627
MEM 300.234375 1660100068.4630
MEM 297.855469 1660100068.5633
MEM 298.687500 1660100068.6636
MEM 298.687500 1660100068.7639
MEM 303.125000 1660100068.8642
MEM 300.972656 1660100068.9644
MEM 300.984375 1660100069.0648
MEM 300.988281 1660100069.1650
MEM 300.214844 1660100069.2653
MEM 301.507812 1660100069.3656
MEM 301.515625 1660100069.4659
MEM 301.554688 1660100069.5663
MEM 299.550781 1660100069.6666
MEM 297.656250 1660100069.7675
MEM 297.664062 1660100069.8679
MEM 297.707031 1660100069.9682
MEM 298.800781 1660100070.0684
MEM 299.687500 1660100070.1687
MEM 299.699219 1660100070.2691
MEM 299.773438 1660100070.3694
MEM 300.414062 1660100070.4697
MEM 299.343750 1660100070.5700
MEM 299.355469 1660100070.6704
MEM 299.394531 1660100070.7706
MEM 300.789062 1660100070.8709
MEM 301.277344 1660100070.9712
MEM 301.277344 1660100071.0716
MEM 301.285156 1660100071.1719
MEM 300.394531 1660100071.2722
MEM 300.390625 1660100071.3725
MEM 300.390625 1660100071.4729
MEM 304.445312 1660100071.5733
MEM 302.917969 1660100071.6735
MEM 302.925781 1660100071.7739
MEM 302.925781 1660100071.8743
MEM 300.156250 1660100071.9745
MEM 303.937500 1660100072.0748
MEM 303.949219 1660100072.1756
MEM 304.191406 1660100072.2759
MEM 303.363281 1660100072.3762
MEM 303.328125 1660100072.4765
MEM 303.328125 1660100072.5769
MEM 304.445312 1660100072.6772
MEM 304.433594 1660100072.7775
MEM 304.445312 1660100072.8778
MEM 304.445312 1660100072.9782
